Var	Description
ST48SMSA	ST48SMSA
ST49SMSA	ST49SMSA
ST50SMSA	ST50SMSA
ST51SMSA	ST51SMSA
ST52SMSA	ST52SMSA
ST54SMSA	ST54SMSA
ST55SMSA	ST55SMSA
ST56SMSA	ST56SMSA
ST57SMSA	ST57SMSA
ST58SMSA	ST58SMSA
ST59SMSA	ST59SMSA
ST60SMSA	ST60SMSA
ST62SMSA	ST62SMSA
MeanCV	MeanCV
stdCV	stdCV
ST13CMVO	ST13CMVO
ST14CMVO	ST14CMVO
ST15CMVO	ST15CMVO
ST23CMVO	ST23CMVO
ST24CMVO	ST24CMVO
ST25CMVO	ST25CMVO
ST26CMVO	ST26CMVO
ST31CMVO	ST31CMVO
ST32CMVO	ST32CMVO
ST129MVO	ST129MVO
ST34CMVO	ST34CMVO
ST35CMVO	ST35CMVO
ST36CMVO	ST36CMVO
ST38CMVO	ST38CMVO
ST39CMVO	ST39CMVO
ST40CMVO	ST40CMVO
ST43CMVO	ST43CMVO
ST44CMVO	ST44CMVO
ST45CMVO	ST45CMVO
ST46CMVO	ST46CMVO
ST47CMVO	ST47CMVO
ST48CMVO	ST48CMVO
ST49CMVO	ST49CMVO
ST50CMVO	ST50CMVO
ST51CMVO	ST51CMVO
ST52CMVO	ST52CMVO
ST54CMVO	ST54CMVO
ST55CMVO	ST55CMVO
ST56CMVO	ST56CMVO
ST57CMVO	ST57CMVO
ST58CMVO	ST58CMVO
ST59CMVO	ST59CMVO
ST60CMVO	ST60CMVO
ST62CMVO	ST62CMVO
ST11SMVO	ST11SMVO
ST12SMVO	ST12SMVO
ST16SMVO	ST16SMVO
ST17SMVO	ST17SMVO
ST18SMVO	ST18SMVO
ST21SMVO	ST21SMVO
ST29SMVO	ST29SMVO
ST30SMVO	ST30SMVO
ST37SMVO	ST37SMVO
ST42SMVO	ST42SMVO
ST53SMVO	ST53SMVO
ST61SMVO	ST61SMVO
ST65SMVO	ST65SMVO
ST66SMVO	ST66SMVO
MeanATD	MeanATD
StdATD	StdATD
MaxATD	MaxATD
ST13TDT	ST13TDT
ST14TDT	ST14TDT
ST15TDT	ST15TDT
ST23TDT	ST23TDT
ST24TDT	ST24TDT
ST25TDT	ST25TDT
ST26TDT	ST26TDT
ST31TDT	ST31TDT
ST32TDT	ST32TDT
ST129DT	ST129DT
ST34TDT	ST34TDT
ST35TDT	ST35TDT
ST36TDT	ST36TDT
ST38TDT	ST38TDT
ST39TDT	ST39TDT
ST40TDT	ST40TDT
ST43TDT	ST43TDT
ST44TDT	ST44TDT
ST45TDT	ST45TDT
ST46TDT	ST46TDT
ST47TDT	ST47TDT
ST48TDT	ST48TDT
ST49TDT	ST49TDT
ST50TDT	ST50TDT
ST51TDT	ST51TDT
ST52TDT	ST52TDT
ST54TDT	ST54TDT
ST55TDT	ST55TDT
ST56TDT	ST56TDT
ST57TDT	ST57TDT
ST58TDT	ST58TDT
ST59TDT	ST59TDT
ST60TDT	ST60TDT
ST62TDT	ST62TDT
MeanSDTD	MeanSDTD
StdSDTD	StdSDTD
MaxSDTD	MaxSDTD
ST13TDSDT	ST13TDSDT
ST14TDSDT	ST14TDSDT
ST15TDSDT	ST15TDSDT
ST23TDSDT	ST23TDSDT
ST24TDSDT	ST24TDSDT
ST25TDSDT	ST25TDSDT
ST26TDSDT	ST26TDSDT
ST31TDSDT	ST31TDSDT
ST32TDSDT	ST32TDSDT
ST129DSDT	ST129DSDT
ST34TDSDT	ST34TDSDT
ST35TDSDT	ST35TDSDT
ST36TDSDT	ST36TDSDT
ST38TDSDT	ST38TDSDT
ST39TDSDT	ST39TDSDT
ST40TDSDT	ST40TDSDT
ST43TDSDT	ST43TDSDT
ST44TDSDT	ST44TDSDT
ST45TDSDT	ST45TDSDT
ST46TDSDT	ST46TDSDT
ST47TDSDT	ST47TDSDT
ST48TDSDT	ST48TDSDT
ST49TDSDT	ST49TDSDT
ST50TDSDT	ST50TDSDT
ST51TDSDT	ST51TDSDT
ST52TDSDT	ST52TDSDT
ST54TDSDT	ST54TDSDT
ST55TDSDT	ST55TDSDT
ST56TDSDT	ST56TDSDT
ST57TDSDT	ST57TDSDT
ST58TDSDT	ST58TDSDT
ST59TDSDT	ST59TDSDT
ST60TDSDT	ST60TDSDT
ST62TDSDT	ST62TDSDT
MeanSAD	MeanSAD
StdSAD	StdSAD
MaxSAD	MaxSAD
ST13SDSA	ST13SDSA
ST14SDSA	ST14SDSA
ST15SDSA	ST15SDSA
ST23SDSA	ST23SDSA
ST24SDSA	ST24SDSA
ST25SDSA	ST25SDSA
ST26SDSA	ST26SDSA
ST31SDSA	ST31SDSA
ST32SDSA	ST32SDSA
ST129DSA	ST129DSA
ST34SDSA	ST34SDSA
ST35SDSA	ST35SDSA
ST36SDSA	ST36SDSA
ST38SDSA	ST38SDSA
ST39SDSA	ST39SDSA
ST40SDSA	ST40SDSA
ST43SDSA	ST43SDSA
ST44SDSA	ST44SDSA
ST45SDSA	ST45SDSA
ST46SDSA	ST46SDSA
ST47SDSA	ST47SDSA
ST48SDSA	ST48SDSA
ST49SDSA	ST49SDSA
ST50SDSA	ST50SDSA
ST51SDSA	ST51SDSA
ST52SDSA	ST52SDSA
ST54SDSA	ST54SDSA
ST55SDSA	ST55SDSA
ST56SDSA	ST56SDSA
ST57SDSA	ST57SDSA
ST58SDSA	ST58SDSA
ST59SDSA	ST59SDSA
ST60SDSA	ST60SDSA
ST62SDSA	ST62SDSA
MeanCVD	MeanCVD
StdCVD	StdCVD
MaxCVD	MaxCVD
ST13CDVO	ST13CDVO
ST14CDVO	ST14CDVO
ST15CDVO	ST15CDVO
ST23CDVO	ST23CDVO
ST24CDVO	ST24CDVO
ST25CDVO	ST25CDVO
ST26CDVO	ST26CDVO
ST31CDVO	ST31CDVO
ST32CDVO	ST32CDVO
ST129DVO	ST129DVO
ST34CDVO	ST34CDVO
ST35CDVO	ST35CDVO
ST36CDVO	ST36CDVO
ST38CDVO	ST38CDVO
ST39CDVO	ST39CDVO
ST40CDVO	ST40CDVO
ST43CDVO	ST43CDVO
ST44CDVO	ST44CDVO
ST45CDVO	ST45CDVO
ST46CDVO	ST46CDVO
ST47CDVO	ST47CDVO
ST48CDVO	ST48CDVO
ST49CDVO	ST49CDVO
ST50CDVO	ST50CDVO
ST51CDVO	ST51CDVO
ST52CDVO	ST52CDVO
ST54CDVO	ST54CDVO
ST55CDVO	ST55CDVO
ST56CDVO	ST56CDVO
ST57CDVO	ST57CDVO
ST58CDVO	ST58CDVO
ST59CDVO	ST59CDVO
ST60CDVO	ST60CDVO
ST62CDVO	ST62CDVO
meanSVD	meanSVD
stdSVD	stdSVD
maxSVD	maxSVD
ST11SDVO	ST11SDVO
ST12SDVO	ST12SDVO
ST16SDVO	ST16SDVO
ST17SDVO	ST17SDVO
ST18SDVO	ST18SDVO
ST21SDVO	ST21SDVO
ST29SDVO	ST29SDVO
ST30SDVO	ST30SDVO
ST37SDVO	ST37SDVO
ST42SDVO	ST42SDVO
ST53SDVO	ST53SDVO
ST61SDVO	ST61SDVO
ST65SDVO	ST65SDVO
ST66SDVO	ST66SDVO
MeanTCV	MeanTCV
StdTCV	StdTCV
ST13TTCV	ST13TTCV
ST14TTCV	ST14TTCV
ST15TTCV	ST15TTCV
ST23TTCV	ST23TTCV
ST24TTCV	ST24TTCV
ST25TTCV	ST25TTCV
ST26TTCV	ST26TTCV
ST31TTCV	ST31TTCV
ST32TTCV	ST32TTCV
ST129TCV	ST129TCV
ST34TTCV	ST34TTCV
ST35TTCV	ST35TTCV
ST36TTCV	ST36TTCV
ST38TTCV	ST38TTCV
ST39TTCV	ST39TTCV
ST40TTCV	ST40TTCV
ST43TTCV	ST43TTCV
ST44TTCV	ST44TTCV
ST45TTCV	ST45TTCV
ST46TTCV	ST46TTCV
ST47TTCV	ST47TTCV
ST48TTCV	ST48TTCV
ST49TTCV	ST49TTCV
ST50TTCV	ST50TTCV
ST51TTCV	ST51TTCV
ST52TTCV	ST52TTCV
ST54TTCV	ST54TTCV
ST55TTCV	ST55TTCV
ST56TTCV	ST56TTCV
ST57TTCV	ST57TTCV
ST58TTCV	ST58TTCV
ST59TTCV	ST59TTCV
ST60TTCV	ST60TTCV
ST62TTCV	ST62TTCV
ST72TTCV	ST72TTCV
ST73TTCV	ST73TTCV
ST74TTCV	ST74TTCV
ST82TTCV	ST82TTCV
ST83TTCV	ST83TTCV
ST84TTCV	ST84TTCV
ST85TTCV	ST85TTCV
ST90TTCV	ST90TTCV
ST91TTCV	ST91TTCV
ST130TCV	ST130TCV
ST93TTCV	ST93TTCV
ST94TTCV	ST94TTCV
ST95TTCV	ST95TTCV
ST97TTCV	ST97TTCV
ST98TTCV	ST98TTCV
ST99TTCV	ST99TTCV
ST102TCV	ST102TCV
ST103TCV	ST103TCV
ST104TCV	ST104TCV
ST105TCV	ST105TCV
ST106TCV	ST106TCV
ST107TCV	ST107TCV
ST108TCV	ST108TCV
ST109TCV	ST109TCV
ST110TCV	ST110TCV
ST111TCV	ST111TCV
ST113TCV	ST113TCV
ST114TCV	ST114TCV
ST115TCV	ST115TCV
ST116TCV	ST116TCV
ST117TCV	ST117TCV
ST118TCV	ST118TCV
ST119TCV	ST119TCV
ST121TCV	ST121TCV
MeanCOM	MeanCOM
StdCOM	StdCOM
ST13CCMP	ST13CCMP
ST14CCMP	ST14CCMP
ST15CCMP	ST15CCMP
ST23CCMP	ST23CCMP
ST24CCMP	ST24CCMP
ST25CCMP	ST25CCMP
ST26CCMP	ST26CCMP
ST31CCMP	ST31CCMP
ST32CCMP	ST32CCMP
ST129CMP	ST129CMP
ST34CCMP	ST34CCMP
ST35CCMP	ST35CCMP
ST36CCMP	ST36CCMP
ST38CCMP	ST38CCMP
ST39CCMP	ST39CCMP
ST40CCMP	ST40CCMP
ST43CCMP	ST43CCMP
ST44CCMP	ST44CCMP
ST45CCMP	ST45CCMP
ST46CCMP	ST46CCMP
ST47CCMP	ST47CCMP
ST48CCMP	ST48CCMP
ST49CCMP	ST49CCMP
ST50CCMP	ST50CCMP
ST51CCMP	ST51CCMP
ST52CCMP	ST52CCMP
ST54CCMP	ST54CCMP
ST55CCMP	ST55CCMP
ST56CCMP	ST56CCMP
ST57CCMP	ST57CCMP
ST58CCMP	ST58CCMP
ST59CCMP	ST59CCMP
ST60CCMP	ST60CCMP
ST62CCMP	ST62CCMP
ST72CCMP	ST72CCMP
ST73CCMP	ST73CCMP
ST74CCMP	ST74CCMP
ST82CCMP	ST82CCMP
ST83CCMP	ST83CCMP
ST84CCMP	ST84CCMP
ST85CCMP	ST85CCMP
ST90CCMP	ST90CCMP
ST91CCMP	ST91CCMP
ST130CMP	ST130CMP
ST93CCMP	ST93CCMP
ST94CCMP	ST94CCMP
ST95CCMP	ST95CCMP
ST97CCMP	ST97CCMP
ST98CCMP	ST98CCMP
ST99CCMP	ST99CCMP
ST102CMP	ST102CMP
ST103CMP	ST103CMP
ST104CMP	ST104CMP
ST105CMP	ST105CMP
ST106CMP	ST106CMP
ST107CMP	ST107CMP
ST108CMP	ST108CMP
ST109CMP	ST109CMP
ST110CMP	ST110CMP
ST111CMP	ST111CMP
ST113CMP	ST113CMP
ST114CMP	ST114CMP
ST115CMP	ST115CMP
ST116CMP	ST116CMP
ST117CMP	ST117CMP
ST118CMP	ST118CMP
ST119CMP	ST119CMP
ST121CMP	ST121CMP
MeanACV	MeanACV
StdACV	StdACV
ST72TMTCV	ST72TMTCV
ST73TMTCV	ST73TMTCV
ST74TMTCV	ST74TMTCV
ST82TMTCV	ST82TMTCV
ST83TMTCV	ST83TMTCV
ST84TMTCV	ST84TMTCV
ST85TMTCV	ST85TMTCV
ST90TMTCV	ST90TMTCV
ST91TMTCV	ST91TMTCV
ST130MTCV	ST130MTCV
ST93TMTCV	ST93TMTCV
ST94TMTCV	ST94TMTCV
ST95TMTCV	ST95TMTCV
ST97TMTCV	ST97TMTCV
ST98TMTCV	ST98TMTCV
ST99TMTCV	ST99TMTCV
ST102MTCV	ST102MTCV
ST103MTCV	ST103MTCV
ST104MTCV	ST104MTCV
ST105MTCV	ST105MTCV
ST106MTCV	ST106MTCV
ST107MTCV	ST107MTCV
ST108MTCV	ST108MTCV
ST109MTCV	ST109MTCV
ST110MTCV	ST110MTCV
ST111MTCV	ST111MTCV
ST113MTCV	ST113MTCV
ST114MTCV	ST114MTCV
ST115MTCV	ST115MTCV
ST116MTCV	ST116MTCV
ST117MTCV	ST117MTCV
ST118MTCV	ST118MTCV
ST119MTCV	ST119MTCV
ST121MTCV	ST121MTCV
MeanACOMP	MeanACOMP
StdACOMP	StdACOMP
ST72CMCMP	ST72CMCMP
ST73CMCMP	ST73CMCMP
ST74CMCMP	ST74CMCMP
ST82CMCMP	ST82CMCMP
ST83CMCMP	ST83CMCMP
ST84CMCMP	ST84CMCMP
ST85CMCMP	ST85CMCMP
ST90CMCMP	ST90CMCMP
ST91CMCMP	ST91CMCMP
ST130MCMP	ST130MCMP
ST93CMCMP	ST93CMCMP
ST94CMCMP	ST94CMCMP
ST95CMCMP	ST95CMCMP
ST97CMCMP	ST97CMCMP
ST98CMCMP	ST98CMCMP
ST99CMCMP	ST99CMCMP
ST102MCMP	ST102MCMP
ST103MCMP	ST103MCMP
ST104MCMP	ST104MCMP
ST105MCMP	ST105MCMP
ST106MCMP	ST106MCMP
ST107MCMP	ST107MCMP
ST108MCMP	ST108MCMP
ST109MCMP	ST109MCMP
ST110MCMP	ST110MCMP
ST111MCMP	ST111MCMP
ST113MCMP	ST113MCMP
ST114MCMP	ST114MCMP
ST115MCMP	ST115MCMP
ST116MCMP	ST116MCMP
ST117MCMP	ST117MCMP
ST118MCMP	ST118MCMP
ST119MCMP	ST119MCMP
ST121MCMP	ST121MCMP
meanTCVD	meanTCVD
stdTCVD	stdTCVD
maxTCVD	maxTCVD
ST72TDTCV	ST72TDTCV
ST73TDTCV	ST73TDTCV
ST74TDTCV	ST74TDTCV
ST82TDTCV	ST82TDTCV
ST83TDTCV	ST83TDTCV
ST84TDTCV	ST84TDTCV
ST85TDTCV	ST85TDTCV
ST90TDTCV	ST90TDTCV
ST91TDTCV	ST91TDTCV
ST130DTCV	ST130DTCV
ST93TDTCV	ST93TDTCV
ST94TDTCV	ST94TDTCV
ST95TDTCV	ST95TDTCV
ST97TDTCV	ST97TDTCV
ST98TDTCV	ST98TDTCV
ST99TDTCV	ST99TDTCV
ST102DTCV	ST102DTCV
ST103DTCV	ST103DTCV
ST104DTCV	ST104DTCV
ST105DTCV	ST105DTCV
ST106DTCV	ST106DTCV
ST107DTCV	ST107DTCV
ST108DTCV	ST108DTCV
ST109DTCV	ST109DTCV
ST110DTCV	ST110DTCV
ST111DTCV	ST111DTCV
ST113DTCV	ST113DTCV
ST114DTCV	ST114DTCV
ST115DTCV	ST115DTCV
ST116DTCV	ST116DTCV
ST117DTCV	ST117DTCV
ST118DTCV	ST118DTCV
ST119DTCV	ST119DTCV
ST121DTCV	ST121DTCV
meanCOMPD	meanCOMPD
stdCOMPD	stdCOMPD
maxCOMPD	maxCOMPD
ST72CDCMP	ST72CDCMP
ST73CDCMP	ST73CDCMP
ST74CDCMP	ST74CDCMP
ST82CDCMP	ST82CDCMP
ST83CDCMP	ST83CDCMP
ST84CDCMP	ST84CDCMP
ST85CDCMP	ST85CDCMP
ST90CDCMP	ST90CDCMP
ST91CDCMP	ST91CDCMP
ST130DCMP	ST130DCMP
ST93CDCMP	ST93CDCMP
ST94CDCMP	ST94CDCMP
ST95CDCMP	ST95CDCMP
ST97CDCMP	ST97CDCMP
ST98CDCMP	ST98CDCMP
ST99CDCMP	ST99CDCMP
ST102DCMP	ST102DCMP
ST103DCMP	ST103DCMP
ST104DCMP	ST104DCMP
ST105DCMP	ST105DCMP
ST106DCMP	ST106DCMP
ST107DCMP	ST107DCMP
ST108DCMP	ST108DCMP
ST109DCMP	ST109DCMP
ST110DCMP	ST110DCMP
ST111DCMP	ST111DCMP
ST113DCMP	ST113DCMP
ST114DCMP	ST114DCMP
ST115DCMP	ST115DCMP
ST116DCMP	ST116DCMP
ST117DCMP	ST117DCMP
ST118DCMP	ST118DCMP
ST119DCMP	ST119DCMP
ST121DCMP	ST121DCMP
